id,tenquan,diachi,rating
79,"Cơm Gà, Cháo Gỏi & Miến Gà Đất Quảng Quán - Bùi Đình Tuý","16 Bùi Đình Túy, P. 25, Bình Thạnh, TP. HCM",4.5
80,"Má Phượng - Nem Nướng, Bún Thịt Nướng & Bánh Canh - Đặc Sản Phú Yên","230 Cây Trâm (Nguyễn Văn Khối), Gò Vấp, TP. HCM",4.5
81,Cơm Chay Diệu Vy - Đề Thám,"61 Đề Thám, P. Cô Giang, Quận 1, TP. HCM",4.5
82,Út Trang - Bánh Canh Cua & Súp Cua - Nguyễn Đình Chiểu,"289 Nguyễn Đình Chiểu, P. 5, Quận 3, TP. HCM",4.5
83,Cơm Tấm - Dì Út,"55/8 Bis Trần Đình Xu, P. Cầu Kho, Quận 1, TP. HCM",4.5
84,3 Con Gà - Cơm Gà Phú Yên - 90 Điện Biên Phủ,"90 Điện Biên Phủ, P. 17, Bình Thạnh, TP. HCM",0
85,"Burger Viet - Bánh Mì, Mỳ Ý & Gà Rán - Thống Nhất","433 Đường Thống Nhất, P. 11, Gò Vấp, TP. HCM",4.5
86,Cơm Văn Phòng Min - Nguyễn Thượng Hiền,"82 Nguyễn Thượng Hiền, P. 4, Quận 3, TP. HCM",4.5
87,Cô Tuyến - Bún Riêu & Bò Kho,"Hẻm 242/5 Tôn Đản, P. 8, Quận 4, TP. HCM",4.5
88,Cơm Xá Xíu Thượng Hạng Icom - Đường số 41,"T58 Hẻm 99 Đường số 41, P. 6, Quận 4, TP. HCM",4.5
89,Cơm Chay Diệu Phương - Nguyễn Gia Trí,"29/3A Nguyễn Gia Trí, P. 25, Bình Thạnh, TP. HCM",4.5
90,Cơm Tấm Sườn Que - 547 Sư Vạn Hạnh,"547 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",4.5
