id,tenquan,diachi,rating
34,AZ - Trà Sữa & Chè Khúc Bạch - Nguyễn Văn Nghi,"84 Nguyễn Văn Nghi, P. 5, Gò Vấp, TP. HCM",4.5
35,Trà Sữa Sunday Basic - Phan Văn Hớn,"52/1B Phan Văn Hớn, Ấp Tiền Lân 1, X. Bà Điểm, Hóc Môn, TP. HCM",4.5
36,ChaPong - Trà Sữa & Cà Phê - Cư Xá Lữ Gia,"45 Đường Số 3, Cư Xá Lữ Gia, P. 15, Quận 11, TP. HCM",4.5
37,TOUS les JOURS - Hai Bà Trưng,"180 Hai Bà Trưng, Quận 1, TP. HCM",4.5
38,Pizza Hut - St Center,"GF01-03 Tầng 1 ST Center, 2A Bình Chiểu, P. Bình Chiểu, Thành Phố Thủ Đức, TP. HCM",4.5
39,WALLACE - Burger & Chicken - S10.01 KĐT Vinhomes Grand Park,"S10.0101.S14, Khu Đô Thị Vinhomes Grand Park, P. Long Thạnh Mỹ, Thành Phố Thủ Đức, TP. HCM",0
40,Trà Sữa Maycha - 47B Phan Huy Ích,"47B Phan Huy Ích, P. 15, Tân Bình, TP. HCM",4.5
41,Chuk Trà & Cà Phê - 105 Phan Xích Long,"103 - 105 Phan Xích Long, P. 2, Phú Nhuận, TP. HCM",4.5
42,KAI Coffee - Đường Số 07,"115 Đường Số 07, P. Bình Trị Đông B, Bình Tân, TP. HCM",4.5
43,Tiến Hải Quán - Bún Đậu Mắm Tôm Hà Nội - Hùng Vương,"155 Hùng Vương, P. 9, Quận 5, TP. HCM",4.5
44,GENKI - Trà Sữa & Cà Phê - Ngô Thời Nhiệm,"87 Ngô Thời Nhiệm, P. Võ Thị Sáu, Quận 3, TP. HCM",4.5
45,Trà Sữa Feeling Tea - Đường 3 Tháng 2,"1230 - 1232 Đường 3 Tháng 2, P. 8, Quận 11, TP. HCM",4.5
46,Cơm Tấm Phúc Lộc Thọ - Tô Ký,"12/6 Tô Ký, P. Tân Chánh Hiệp, Quận 12, TP. HCM",4.5
47,Boost Juice - Smoothies & Nước Ép Trái Cây - Điện Biên Phủ,"119/2 Điện Biên Phủ, P. Đa Kao, Quận 1, TP. HCM",4.5
48,Gà Rán & Burger Lotteria - Nguyễn Ánh Thủ,"159/6 - 160/1 Nguyễn Ảnh Thủ, X. Trung Chánh, Hóc Môn, TP. HCM",4.5
49,Café Amazon - Hai Bà Trưng,"97 Hai Bà Trưng, P. Bến Nghé, Quận 1, TP. HCM",4.5
50,Cơm Gà Nam Chợ Mới - 497 Phạm Văn Chiêu,"497 Phạm Văn Chiêu, P. 13, Gò Vấp, TP. HCM",4.5
51,Phở Nhà - 156 Nguyễn Xí,"156 Nguyễn Xí, P. 26, Bình Thạnh, TP. HCM",4.5
52,"Hoành Thánh Lá, Bánh Canh & Nui Hồng Lê - Bùi Đình Túy","125/77/12B Bùi Đình Túy, P. 24, Bình Thạnh, TP. HCM",4.5
53,Gong Cha - Trà & Cà Phê - Nguyễn Sơn,"7 Nguyễn Sơn, P. Phú Thạnh, Tân Phú, TP. HCM",4.5
54,Trà Sữa ToCoToCo - 19B Hiệp Bình,"19B Hiệp Bình, P. Hiệp Bình Chánh, Thành Phố Thủ Đức, TP. HCM",4.5
55,Cơm Chay Bình An,"230 Nguyễn Xí, P. 13, Bình Thạnh, TP. HCM",4.5
56,Domino’s Pizza - Kha Vạn Cân,"738 Kha Vạn Cân, Thành Phố Thủ Đức, TP. HCM",4.5
57,BIBO Bánh Cuốn Nóng - Bánh Cuốn Truyền Thống - Đường Số 9,"208/28 Đường Số 9, P. 16, Gò Vấp, TP. HCM",4.5
58,Bún Bò Hương Thanh - Lạc Long Quân,"212 Lạc Long Quân, P. 10, Quận 11, TP. HCM",4.5
59,Quán Cơm Chiên - Linh Đông,"192 Linh Đông, P. Linh Đông, Thành Phố Thủ Đức, TP. HCM",4.5
60,Cơm Gà Đông Nguyên - Hà Huy Tập,"53 Hà Huy Tập, P. Tân Phong, Quận 7, TP. HCM",4.5
61,Mr. Nem - Nem Nướng Nha Trang & Bún Thịt Nướng - Cây Trâm,"400 Cây Trâm, P. 8, Gò Vấp, TP. HCM",4.5
62,"Ăn Vặt CƯỜNG NGÂN - Xoài Cóc Non, Chân Gà & Bánh Tráng - Lê Văn Lương","556/2 Lê Văn Lương, P. Tân Phong, Quận 7, TP. HCM",4.5
