idquan,rating,item,price
107,4.5,Phin đá - 500ml,29000
108,4.5,Phin đá - 500ml,29000
109,4.5,Phin đá - 500ml,29000
110,4.5,Phin đá - 500ml,29000
111,4.5,Phin đá - 500ml,29000
112,4.5,Phin đá - 500ml,29000
113,4.5,Phin đá - 500ml,29000
114,4.5,Phin đá - 500ml,29000
115,4.5,Phin đá - 500ml,29000
116,4.5,Phin đá - 500ml,29000
117,5,Phin đá - 500ml,29000
118,4.5,Phin đá - 500ml,29000
119,0,Phin đá - 500ml,29000
120,4.5,Phin đá - 500ml,29000
121,4.5,Phin đá - 500ml,29000
122,4.5,Phin đá - 500ml,29000
123,4.5,Phin đá - 500ml,29000
124,4.5,Phin đá - 500ml,29000
125,4.5,Phin đá - 500ml,29000
126,4.5,Phin đá - 500ml,29000
127,4.5,Phin đá - 500ml,29000
128,0,Phin đá - 500ml,29000
129,4.5,Phin đá - 500ml,29000
130,4.5,Phin đá - 500ml,29000
131,4.5,Phin đá - 500ml,29000
132,4.5,Phin đá - 500ml,29000
133,4.5,Phin đá - 500ml,29000
134,4.5,Phin đá - 500ml,29000
135,0,Phin đá - 500ml,29000
136,4.5,Phin đá - 500ml,29000
137,4.5,Phin đá - 500ml,29000
138,4.5,Phin đá - 500ml,29000
139,4.5,Phin đá - 500ml,29000
140,4.5,Phin đá - 500ml,29000
141,4.5,Phin đá - 500ml,29000
142,4.5,Phin đá - 500ml,29000
143,4.5,Phin đá - 500ml,29000
144,4.5,Phin đá - 500ml,29000
145,4.5,Phin đá - 500ml,29000
146,4.5,Phin đá - 500ml,29000
147,4.5,Phin đá - 500ml,29000
148,0,Phin đá - 500ml,29000
149,4.5,Phin đá - 500ml,29000
150,4.5,Phin đá - 500ml,29000
151,4.5,Phin đá - 500ml,29000
152,5,Phin đá - 500ml,29000
153,4.5,Phin đá - 500ml,29000
154,4.5,Phin đá - 500ml,29000
156,4.5,Phin sữa đá - 500ml,34000
157,4.5,Phin sữa đá - 500ml,34000
155,3.5,Phin đá - 500ml,29000
156,4.5,Phin đá - 500ml,29000
157,4.5,Phin đá - 500ml,29000
158,4.5,Cơm gà chiên xù chua ngọt,60000
159,4.5,Canh ngao kim chi,44000
160,4.5,Canh rong biển tươi,44000
161,4.5,Canh kimchi bạch tuộc,52000
162,4.5,Canh kimchi bạch tuộc,52000
163,4.5,Canh kimchi bạch tuộc,52000
164,4.5,Canh kimchi bạch tuộc,52000
165,4.5,Canh kimchi bạch tuộc,52000
166,4.5,Canh kimchi bạch tuộc,52000
